"Sample_Number","Tr","Time","X.Pyruvic.acid..1TMS.","X.Lactic.Acid..2TMS.","X.Valine..1TMS.","X.Alanine..2TMS.","X.Leucine..1TMS.","X.Valine..2TMS.","X.Leucine..2TMS.","X.Threonine..2TMS.","X.Proline..2TMS.","X.Succinic.acid..2TMS.","X.Glycine..3TMS.","X.Fumaric.acid..2TMS.","X.Serine..3TMS.","X.Methionine..1TMS.","X.Aspartic.acid..2TMS.","X.Glutamine...H2O...2TMS.","X.Malic.acid..3TMS.","X.Aspartic.acid..3TMS.","X.Methionine..2TMS.","X.Glutamic.acid..2TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..BP","X.Threonic.acid..4TMS.","X.2.Oxoglutaric.acid..1MEOX...2TMS..MP","X.Glutamic.acid..3TMS.","X.Phenylalanine..2TMS.","X.Asparagine..3TMS.","X.Putrescine..4TMS.","X.Glutamine..3TMS.","X.Ornithine..4TMS.","X.Citric.acid..4TMS.","X.Fructose..1MEOX...5TMS..MP","X.Fructose..1MEOX...5TMS..BP","X.Glucose..1MEOX...5TMS..MP","X.Galactose..1MEOX...5TMS..MP","X.Lysine..4TMS.","X.Galactose..1MEOX...5TMS..BP","X.Tyrosine..3TMS.","X.Glucose..1MEOX...5TMS..BP","X.Gluconic.acid..6TMS.","X.myo.Inositol..6TMS.","X.Sucrose..8TMS.","X.Trehalose..8TMS.","X.Maltose..1MEOX...8TMS..MP","X.Melibiose..1MEOX...8TMS..BP","X.Galactinol..9TMS."
"1","C","2",0.104423666420015,0.0749126814375829,0.198077892190065,0.00228865009062194,0.102729814343905,0.0271795697409122,0.461115265767124,0.191407781978408,0.0700691174624838,0.0448850833005802,0.0999013413742023,0.0154800223018444,0.278179138031108,0.0740382129271795,0.044265342315946,0.276964656282226,0.04610013576566,0.229414577664669,0.161933379611776,0.106530444370421,0.0228642406534184,0.0297410728762771,0.00596816432636695,0.622459560457116,0.318404568587392,0.161989129276459,0.771390960667902,0.649296756745893,0.075031060714811,0.00162859767653419,0.00321250391653993,0.00303629798080484,0.0122235456101993,0.0124782124878912,0.284743698885108,0.0130415292184949,0.168275877524699,0.01603028738147,0.000672543766288383,0.0149952483071773,0.00287991897427029,0.00961645263997784,0.0169301685589123,0.129920257531182,0.0318652402282628
"10","P","2",0.390551209882673,0.353064460521857,0.175597312887533,0.0110253967807526,0.188388857882111,0.0083436240546432,0.326860984299673,0.472925223491419,0.17370794184787,0.152330361672864,0.157231122456777,0.0272799594445459,0.0113262708873168,0.261238795240886,0.0686839063793879,0.0710628856166565,0.00368026866033952,0.036908620999994,0.00493354415448152,0.415021102098475,0.261210481631426,0.10542589946616,0.00337641153665439,0.0151865368496482,0.0992866542742581,0.0986597143821681,0.127381139100377,0.0613244786946453,0.280830411397822,0.0152785770245231,0.00738227539211809,0.00678244872299838,0.020877339527619,0.0195973425910195,0.436823388075274,0.0191309424996364,0.0640818165057622,0.0735418583856357,0.00257883913948813,0.0902527256314529,0.00873361263688507,0.0492467967991828,0.0684537579277259,0.0423530941350325,0.035302467609081
"11","F","2",0.267910739313137,0.378219891169563,0.250909306195482,0.00403312556773011,0.198236902029175,0.0275759771985321,0.166837485503265,0.356338831863172,0.087740902171565,0.369180001588337,0.170359733511766,0.084244962174633,0.133915997196429,0.277468165930927,0.0518341740542934,0.0572734497584137,0.0477727616706575,0.0910769787567762,0.0844883357292071,0.326016081580841,0.153715803099586,0.221503502194427,0.111010120348235,0.0624763411041625,0.133932120095809,0.160704898593359,0.0997363038150565,0.0710484022543487,0.219292587909882,0.345801727857312,0.0513907208862675,0.0485621552088734,0.0309980758567971,0.0291134140278914,0.189906067734006,0.0304501344532446,0.0725903200815304,0.060433443000495,0.185390683036044,0.195662569945476,0.009358562385078,0.0457121929194687,0.416446270525637,0.567513919597889,0.540268258738174
"12","F","2",0.207347586817091,0.223633492743671,0.115278919751269,0.00381188443786656,0.0876709107562445,0.0411662350625432,0.181089708796566,0.440802455028688,0.0725012002838386,0.92851736608924,0.142471423332451,0.198306306048878,0.00404143022007797,0.322296284711073,0.109523414053056,0.0367020478918178,0.568422569608863,0.0509531679355806,0.0342725584617077,0.19763695931678,0.285089630621874,0.898902055521272,0.312784504820284,0.0847888724089265,0.0690035767841241,0.637122301486738,0.0544159805980556,0.111275814042273,0.215221891609638,0.405175221941909,0.317849039600204,0.318766806563882,0.0412840741393628,0.0367159551113569,0.308443780838997,0.0352447060082196,0.103386376846339,0.101994926916021,0.639250488747355,0.427297775112903,0.00535069065414001,0.04762655785143,0.504399483831163,0.731729783547829,0.849440541775664
"13","F","2",0.174732206049309,0.4136502843733,0.281923973087783,0.0100878358342384,0.124605921619714,0.0118187791539466,0.388653400672896,0.467733050280681,0.179812875612129,0.238564655159612,0.270806197885074,0.0613902021743019,0.0999494009419331,0.778330671165346,0.0836476306693446,0.119173444641505,0.00616863607229924,0.122480797593041,0.18438269340731,0.410049656765997,0.247940313468251,1,0.000571727014086075,0.0843475926466497,0.15892502036314,1,1,0.0712078597473639,0.501735288906135,0.0138384880304639,0.199042014290642,0.188914448998943,0.257505687382979,0.258187507081811,0.408536361480288,0.269580655696857,0.0973729229204691,0.584355142487652,0.0727355635080915,0.731409745993369,0.0115694009948455,0.295172706132092,0.315666946489181,0.825070680942944,0.334343315841293
"14","F","2",0.502066032990786,0.345382554254884,0.312562187273511,0.00788167884572761,0.182605537146559,0.0243039085877794,0.304662687662655,0.573689848302315,0.0887774816747474,0.577081661324665,0.32445277336938,0.0369617044248534,0.313453378072413,0.426564390401639,0.0686833937326152,0.122303022480761,0.00446037515883749,0.136694195988888,0.0681999493910651,0.256219086480317,0.198808867688217,0.374187064358343,0.0963681953909429,0.112318451890903,0.272838854236979,0.171390656988833,0.130606675690941,0.0234088555331769,0.391702616413739,0.25486896944142,0.169732681338798,0.160610371758076,0.132468596059498,0.133256136089522,0.495347984013147,0.121974275394413,0.116740543963749,0.261804098880762,0.0160262168522441,0.368905824148371,0.048777384451606,0.0546385884331143,0.225521043946976,0.172707234149733,0.196955273853327
"15","F","2",0.263203464579794,0.403747724075282,1,0.142109328131237,0.527161734597572,0.304463032997941,0.346215503088206,0.73647336649616,0.521612885256024,1,0.570502970613402,1,0.418744639896502,0.491834153005607,1,0.210389158446033,1,1,0.200912641372357,0.895793920292123,1,0.37823413978209,1,1,0.521686303547748,0.692528385499411,0.229632983878263,0.210838342574127,0.207799381288125,0.525464397191006,0.521148530160899,0.550467732387217,0.3923348411672,0.388170438515105,0.44638778630833,0.405740064286296,0.779772113192994,0.199447509017035,1,0.453599511285546,0.0127341970174261,0.0849786116611171,0.378481740723636,0.262169032800849,1
"17","M","2",0.275181825166418,0.188987355908269,0.208226902874937,0.00369154097944326,0.164243298806276,0.0374983016695755,0.237759675327914,0.305108249225974,0.081384162793462,0.102741437812828,0.227053484812764,0.0242455712759539,0.217895281860365,0.182200659595398,0.0294493192048906,0.0389861198451773,0.00130336289358458,0.0522167919569776,0.0669030994012659,0.16787659077677,0.0292887128973798,0.0831687835540238,0.00117000826074068,0.0275425588508569,0.176872852474599,0.0630122104876897,0.202280364848208,0.0105537177921673,0.181130988328858,0.00490348378156078,0.0134448561216414,0.0117685664659842,0.0137122864641309,0.0123691213126677,0.204074129116251,0.011605379890339,0.0493997524281074,0.0480980247132578,0.00237124650576394,0.230784646538126,0.00858693093496001,0.0231607788734189,0.0519530867944833,0.162507808877753,0.0676413381555886
"18","M","2",0.233233930540863,0.436412694225964,0.28102390621086,0.0465678759976774,0.0892703956399268,0.0380728105642161,0.482609793771592,0.502358147840409,0.175940501643484,0.250199224955991,0.363931863894328,0.0617574038927488,0.00883101683619561,0.30252962348202,0.0719479950444711,0.0547010301014915,0.0257548652336121,0.0487698578233332,0.0283759501452417,0.364063712116949,0.0787224646248009,0.0763031216880595,0.00208774773518455,0.0170015869427797,0.0914077030262265,0.0867582786810749,0.112745455187505,0.00680999690118902,0.426395998024777,0.0129405131128066,0.00696586045236923,0.00665615220591298,0.0215369120259958,0.0206787148257197,0.360697932720532,0.0191748693827201,0.0491522371818246,0.0581540605513473,0.00526282181455078,0.0211741024910255,0.0134873604905279,0.0578994698881273,0.0604416922655159,0.142201478078782,0.0335226527937498
"19","M","2",0.577648351066478,0.65028104900692,0.447704537972595,0.0274703098299615,0.36384140587528,0.0498839364362765,0.679081649623024,0.683405273566836,0.338889897008413,0.280160879045976,0.453639574982521,0.0492745989352638,0.0136224508819092,0.458423656614941,0.287344043758236,0.233682182658553,0.0118942582298333,0.127380265958812,0.0464196731103411,0.758592737460045,0.0979709233485446,0.166220123705842,0.00324504730961307,0.0716588779138222,0.196061067076994,0.195612899824587,0.630199077149531,0.113415376761183,0.8318667771739,0.0329347139760369,0.0333758056329803,0.0301174518092247,0.0376835022826017,0.0354660414414168,0.400318240196888,0.0317418597466994,0.137636766600976,0.256660909873618,0.00843959696596038,0.249982408593664,0.0231467211629814,0.0841306984264703,0.128123986204564,0.262676966418632,0.0661543890498602
