Tr;Time;FW
C;2;1.5739
C;2;1.0575
C;2;0.3276
C;2;0.7847
C;2;1.1403
P;2;0.1589
P;2;0.1715
P;2;0.1704
P;2;0.1081
P;2;0.2508
Fe;2;0.4537
Fe;2;0.4348
Fe;2;0.2096
Fe;2;0.2715
Fe;2;0.3868
M;2;0.1042
M;2;0.38
M;2;0.1648
M;2;0.125
M;2;0.2906
C;4;0.4706
C;4;1.3475
C;4;0.3688
C;4;0.9048
C;4;0.7625
P;4;0.1082
P;4;0.1158
P;4;0.1309
P;4;0.2628
P;4;0.1654
Fe;4;0.5645
Fe;4;0.3789
Fe;4;0.6138
Fe;4;0.4058
Fe;4;0.3011
M;4;0.137
M;4;0.3677
M;4;0.1951
M;4;0.2426
M;4;0.1926
C;6;1.0477
C;6;1.2014
C;6;0.463
C;6;0.3759
C;6;0.3755
P;6;0.1803
P;6;0.1034
P;6;0.2477
P;6;0.1957
P;6;0.1969
Fe;6;0.555
Fe;6;0.427
Fe;6;0.2983
Fe;6;0.3282
Fe;6;0.3209
M;6;0.3071
M;6;0.3429
M;6;0.1923
M;6;0.2041
M;6;0.2354
