"Tr","Time","Pyruvic.acid..1TMS.","Lactic.Acid..2TMS.","Valine..1TMS.","Leucine..2TMS.","Threonine..2TMS.","Proline..2TMS.","Succinic.acid..2TMS.","Glycine..3TMS.","Methionine..1TMS.","Glutamine...H2O...2TMS.","Glutamic.acid..2TMS.","X2.Oxoglutaric.acid..1MEOX...2TMS..BP","Threonic.acid..4TMS.","Phenylalanine..2TMS.","Asparagine..3TMS.","Ornithine..4TMS.","Lysine..4TMS.","Glucose..1MEOX...5TMS..BP","Gluconic.acid..6TMS.","Trehalose..8TMS.","Maltose..1MEOX...8TMS..MP","Melibiose..1MEOX...8TMS..BP","Galactinol..9TMS."
"C","2","0.08524276","0.04910862","0.14424725","0.09691952","0.1144179","0.02497135","0.03076229","0.09214978","0.08819283","0.18296917","0.08548414","0.02143880","0.02695381","0.31387914","0.12798770","0.06061225","0.18739280","0.01792264","0.0005533695","0.01563420","0.02696362","0.09345074","0.022860260"
"P","2","0.55804930","0.40199206","0.27260550","0.23141335","0.6269102","0.10759262","0.18581004","0.25584966","0.40342478","0.08250236","0.59491012","0.35358582","0.16311327","0.21398471","0.22605090","0.36519154","0.61929832","0.14804785","0.0035576807","0.15429567","0.15128726","0.05703658","0.047848716"
"F","2","0.27147012","0.35676584","0.20503410","0.08460597","0.2541824","0.03680780","0.26894012","0.18215800","0.28680289","0.05216248","0.27900129","0.12394755","0.20445457","0.15465094","0.17115989","0.23172736","0.14098499","0.07342114","0.1387303447","0.08660193","0.55035047","0.39949640","0.443702742"
"F","2","0.17404846","0.15063771","0.16813374","0.07329745","0.2722473","0.02851324","0.69005751","0.16280563","0.31250735","0.03034928","0.18151585","0.22722985","0.82172454","0.08656748","0.55928149","0.22482464","0.23022530","0.11880077","0.4777973330","0.07361363","0.66983146","0.51560814","0.659690522"
"F","2","0.15569693","0.29596501","0.23881515","0.18358128","0.3487986","0.07823593","0.18867556","0.28518692","0.78444296","0.12019299","0.43548799","0.23299602","1.00000000","0.25374648","1.00000000","0.39426719","0.46719642","0.77356331","0.0694693841","0.44016086","0.36390015","0.63927863","0.285538921"
"F","2","0.61216003","0.32178312","0.27577835","0.16271352","0.4560598","0.04256580","0.45265740","0.37609903","0.38500807","0.15335702","0.25230931","0.17470110","0.37609355","0.31890854","0.20155070","0.34518741","0.39687248","0.34715630","0.0170203695","0.09267961","0.33266858","0.13274405","0.177305373"
"F","2","0.34744948","0.47076444","1.00000000","0.20618527","0.5751468","0.29280384","1.00000000","0.79057019","0.63004438","0.24808753","1.00000000","1.00000000","0.45749226","0.77189340","0.86722699","0.32117653","0.48809689","0.30615139","1.0000000000","0.16106948","0.66280986","0.25198695","1.000000000"
"M","2","0.47051188","0.25355149","0.28183816","0.15914571","0.3413681","0.06756013","0.12537400","0.38072825","0.31130804","0.06546834","0.26132435","0.04633515","0.12873962","0.32202700","0.15207183","0.24488802","0.25863117","0.10031253","0.0031729446","0.06550830","0.12461005","0.24282428","0.087378477"
"M","2","0.38676356","0.57494560","0.39984583","0.28607836","0.6535354","0.11954299","0.30303535","0.59864433","0.52847191","0.07314151","0.51674391","0.11417177","0.11504188","0.22373802","0.19524464","0.51821969","0.52453748","0.11954976","0.0076846624","0.14837403","0.16122008","0.18019505","0.045190255"
"M","2","0.49446312","0.44390692","0.38424965","0.26553424","0.5271798","0.15631788","0.21528858","0.46124005","0.50677559","0.26435652","0.67817809","0.09644059","0.16260944","0.26950622","0.26600489","0.67005845","0.34284108","0.32355982","0.0076848841","0.14348856","0.21205417","0.21044147","0.056454786"
"C","2","0.13944168","0.08444156","0.07644546","0.03196246","0.1085230","0.01491763","0.03457840","0.04119753","0.08174840","0.02874752","0.07903170","0.03214269","0.27259440","0.12722284","0.08232729","0.07521752","0.12750145","0.01567032","0.0029215591","0.03002867","0.14287807","0.14418944","0.027770901"
