"Tr","Time","Pyruvic.acid..1TMS.","Lactic.Acid..2TMS.","Succinic.acid..2TMS.","Glycine..3TMS."
"C","2","0.08524276","0.04910862","0.03076229","0.09214978"
"P","2","0.55804930","0.40199206","0.18581004","0.25584966"
"F","2","0.27147012","0.35676584","0.26894012","0.18215800"
"F","2","0.17404846","0.15063771","0.69005751","0.16280563"
"F","2","0.15569693","0.29596501","0.18867556","0.28518692"
"F","2","0.61216003","0.32178312","0.45265740","0.37609903"
"F","2","0.34744948","0.47076444","1.00000000","0.79057019"
"M","2","0.47051188","0.25355149","0.12537400","0.38072825"
"M","2","0.38676356","0.57494560","0.30303535","0.59864433"
"M","2","0.49446312","0.44390692","0.21528858","0.46124005"
"C","2","0.13944168","0.08444156","0.03457840","0.04119753"
"M","2","0.47726916","0.26330099","0.21495342","0.47517848"
"C","4","0.09959218","0.19143683","0.05562206","0.19136445"
"C","4","0.14764279","0.04446109","0.02432045","0.05861908"
"C","4","0.11846275","0.17100348","0.08095723","0.13624884"
"C","4","0.09959618","0.05990096","0.02290260","0.08828714"
"C","4","0.12249006","0.10041119","0.03946404","0.10983837"
"P","4","0.85765023","0.52679596","0.27257109","0.47721751"
"P","4","0.67056642","0.61526823","0.51993326","0.73035965"
"P","4","0.28619757","0.39152050","0.43095055","0.45082113"
"P","4","0.27773581","0.23333245","0.10617809","0.19605754"
"C","2","0.09754698","0.12690481","0.10133556","0.13159145"
"P","4","0.31600951","0.36354388","0.19283806","0.32452393"
"F","4","0.10475299","0.10050644","0.06651709","0.03788209"
"F","4","0.10878518","0.15299789","0.06371001","0.00868239"
"F","4","0.25270415","0.09303726","0.44123153","0.09742458"
"F","4","0.11065310","0.14352892","0.10818085","0.06140374"
"F","4","0.10836760","0.21810550","0.12490508","0.11869889"
"M","4","0.40953886","0.45092030","0.37650369","0.42957273"
"M","4","1.00000000","0.59537101","0.22084146","0.44908940"
"M","4","0.28981175","0.49509100","0.26815410","0.80860773"
"M","4","0.49736078","0.57046024","0.20520395","0.46463016"
"C","2","0.09345304","0.08658680","0.03284639","0.09154174"
"M","4","0.58755337","0.68367496","0.18934415","0.61420838"
"C","6","0.26054402","0.04798024","0.02471942","0.05642949"
"C","6","0.23728572","0.06836385","0.02460764","0.12219188"
"C","6","0.17032159","0.16191044","0.05844093","0.16379354"
"C","6","0.42753676","0.21029138","0.06530289","0.28630016"
"C","6","0.17946981","0.33067572","0.06671543","0.19706972"
"P","6","0.71738873","0.75910830","0.35871057","1.00000000"
"P","6","0.96296546","1.00000000","0.52941170","0.69872381"
"P","6","0.73648816","0.59290018","0.32266316","0.49120194"
"C","2","0.10793053","0.05113965","0.10478159","0.09143350"
"P","6","0.46495631","0.45700950","0.17228410","0.17388160"
"F","6","0.10455355","0.09106629","0.06938805","0.07556127"
"F","6","0.17091071","0.17601764","0.08007537","0.13247626"
"F","6","0.23234237","0.21180734","0.25368452","0.22563769"
"F","6","0.08676105","0.07916178","0.09796515","0.07478268"
"F","6","0.13268488","0.13402086","0.10797262","0.12029579"
"M","6","0.61653536","0.24552978","0.42248635","0.23686247"
"M","6","0.18071388","0.26892871","0.12685124","0.12201557"
"M","6","0.28913363","0.31970365","0.20989977","0.21372897"
"M","6","0.43146970","0.37950354","0.18483154","0.33103117"
"P","2","0.59893374","0.69867752","0.49263494","0.93427263"
"M","6","0.41289314","0.45435952","0.24376188","0.28852270"
"P","2","0.33628159","0.38499393","0.34667610","0.42915430"
"P","2","0.66168817","0.60038678","0.21754557","0.58215910"
"P","2","0.68545806","0.91587923","0.48733138","0.75709665"
