Tr;Time;RI_mz;N;mean;sd;se
1;C;2;X.Pyruvic.acid..1TMS.;5;0.104722998667456;0.0210574310309837;0.00941716944335863
2;C;2;X.Lactic.Acid..2TMS.;5;0.0796362858548511;0.0318186668285516;0.0142297403964118
3;C;2;X.Valine..1TMS.;5;0.104615995826813;0.0376552199623546;0.0168399263087064
4;C;2;X.Alanine..2TMS.;5;0.0016562572348204;0.000320221102749237;0.000143207230715448
5;C;2;X.Leucine..2TMS.;5;0.0582088459467133;0.03218859955689;0.0143951793419451
6;C;2;X.Threonine..2TMS.;5;0.148440034885412;0.0597910733613949;0.0267393808967512
7;C;2;X.Proline..2TMS.;5;0.0216016752760721;0.0119777160230238;0.00535659744853394
8;C;2;X.Succinic.acid..2TMS.;5;0.0608608463211017;0.0385640175917017;0.0172463529641085
9;C;2;X.Glycine..3TMS.;5;0.0895828026304586;0.0320924947941161;0.0143521999854403
10;C;2;X.Fumaric.acid..2TMS.;5;0.0156422527852826;0.00608371918680137;0.00272072193154152
11;C;2;X.Serine..3TMS.;5;0.0405707353029341;0.0671825083748628;0.0300449311250284
12;C;2;X.Methionine..1TMS.;5;0.170986186509175;0.114478606196844;0.0511963890851144
13;C;2;X.Aspartic.acid..2TMS.;5;0.0296510009610843;0.012649438564169;0.00565700090133786
14;C;2;X.Glutamine...H2O...2TMS.;5;0.0696013271390846;0.0665390605827038;0.0297571725243805
15;C;2;X.Malic.acid..3TMS.;5;0.00721183429666673;0.0090800617615647;0.00406072706775103
16;C;2;X.Glutamic.acid..2TMS.;5;0.113571377261249;0.0551497793408969;0.0246637311100718
17;C;2;X.2.Oxoglutaric.acid..1MEOX...2TMS..BP;5;0.0581519030730067;0.0308871855389157;0.0138131692997328
18;C;2;X.Threonic.acid..4TMS.;5;0.25159582165174;0.142370045180459;0.0636698197966445
19;C;2;X.Phenylalanine..2TMS.;5;0.162226494986151;0.0876351166385383;0.0391916156039789
20;C;2;X.Asparagine..3TMS.;5;0.176037589164984;0.111596348109806;0.0499074040828514
21;C;2;X.Putrescine..4TMS.;5;0.230851984568109;0.272775746604173;0.121989022404038
22;C;2;X.Ornithine..4TMS.;5;0.115639170881625;0.0751365311420544;0.0336020782454327
23;C;2;X.Citric.acid..4TMS.;5;0.0122642873449028;0.0137803120604668;0.00616274290367279
24;C;2;X.Fructose..1MEOX...5TMS..MP;5;0.162587254207512;0.150864731804877;0.067468759144596
25;C;2;X.Galactose..1MEOX...5TMS..MP;5;0.137414865561411;0.185681171100143;0.0830391441443377
26;C;2;X.Lysine..4TMS.;5;0.174713798771546;0.0474942723039693;0.0212400842827122
27;C;2;X.Tyrosine..3TMS.;5;0.075018644513321;0.0504972130975751;0.0225830402320941
28;C;2;X.Glucose..1MEOX...5TMS..BP;5;0.112889342121379;0.147034291824217;0.0657557343084983
29;C;2;X.Gluconic.acid..6TMS.;5;0.0501259275017654;0.0990126462394966;0.0442798015247307
30;C;2;X.myo.Inositol..6TMS.;5;0.161786015544011;0.0914361023384935;0.0408914680852998
31;C;2;X.Sucrose..8TMS.;5;0.00482387751503551;0.00416180224481826;0.00186121454566497
32;C;2;X.Trehalose..8TMS.;5;0.0396305101162198;0.0218718861806016;0.00978140485919269
33;C;2;X.Maltose..1MEOX...8TMS..MP;5;0.232174018046235;0.169846963056206;0.0759578710331143
34;C;2;X.Melibiose..1MEOX...8TMS..BP;5;0.169460878354736;0.100037068583085;0.0447379371243173
35;C;2;X.Galactinol..9TMS.;5;0.057501301493191;0.0611454564491241;0.0273450794270989
36;C;4;X.Pyruvic.acid..1TMS.;5;0.117556792694372;0.0198471421047293;0.0088759117810546
37;C;4;X.Lactic.Acid..2TMS.;5;0.113442708718444;0.0655578517028094;0.0293183625732664
38;C;4;X.Valine..1TMS.;5;0.0952106342388084;0.0236143445168989;0.0105606559167771
39;C;4;X.Alanine..2TMS.;5;0.0297610325283487;0.0554262618547661;0.0247873778491921
40;C;4;X.Leucine..2TMS.;5;0.0871662042107452;0.0524581963017983;0.0234600185815698
41;C;4;X.Threonine..2TMS.;5;0.181033621437099;0.052741528299564;0.0235867285030108
42;C;4;X.Proline..2TMS.;5;0.0509301818821887;0.0496788240153052;0.0222170455080943
43;C;4;X.Succinic.acid..2TMS.;5;0.0446532773045235;0.0242473468611188;0.0108437431710956
44;C;4;X.Glycine..3TMS.;5;0.116871576674799;0.0504592776941538;0.0225660750039334
45;C;4;X.Fumaric.acid..2TMS.;5;0.0143134992892308;0.00492960639533107;0.00220458700045559
46;C;4;X.Serine..3TMS.;5;0.127778757443793;0.0329322853648627;0.0147277657460509
47;C;4;X.Methionine..1TMS.;5;0.149712011150543;0.0954211447269117;0.042673633220044
48;C;4;X.Aspartic.acid..2TMS.;5;0.030319867740205;0.0184512020550555;0.00825162841233758
49;C;4;X.Glutamine...H2O...2TMS.;5;0.0372972910453865;0.0112791592700647;0.0050441933713823
50;C;4;X.Malic.acid..3TMS.;5;0.00201293936591435;0.000722380400456401;0.000323058336206807
51;C;4;X.Glutamic.acid..2TMS.;5;0.147520831874093;0.0720422495884347;0.0322182734663493
