Tr;Time;N;mean;sd;se
1;C;2;5;0.9768;0.460471551781432;0.205929138297619
2;C;4;5;0.77084;0.388050193918261;0.173541322456641
3;C;6;5;0.6927;0.399543758554679;0.178681400822805
4;Fe;2;5;0.35128;0.106260514773833;0.0475211468716823
5;Fe;4;5;0.45282;0.13141631177293;0.0587711612953156
6;Fe;6;5;0.38588;0.106667788014939;0.0477032850021883
7;M;2;5;0.21292;0.118126423800943;0.0528277427115715
8;M;4;5;0.227;0.0870930823889016;0.0389492105183147
9;M;6;5;0.25636;0.0658366007627976;0.029443022942626
10;P;2;5;0.17194;0.0511543057816251;0.0228769010139048
11;P;4;5;0.15662;0.0632921164127097;0.0283050949477298
12;P;6;5;0.1848;0.0521244664241275;0.0233107700430509
